stock,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
CCL,2022-02-28,2022-03-22,-1.66,-1.26,-0.4,-31.746
CCL,2021-11-30,2021-12-20,-1.72,-1.43,-0.29,-20.2797
CCL,2021-08-31,2021-09-30,-1.75,-1.48,-0.27,-18.2432
CCL,2021-05-31,2021-06-28,-1.8,-1.6,-0.2,-12.5
CCL,2021-02-28,2021-04-07,-1.79,-1.54,-0.25,-16.2338
CCL,2020-11-30,2021-01-26,-2.02,-1.94,-0.08,-4.1237
CCL,2020-08-31,2020-10-08,-2.19,-2.2,0.01,0.4545
CCL,2020-05-31,2020-07-10,-3.3,-2.26,-1.04,-46.0177
CCL,2020-02-29,2020-04-03,0.22,0.27,-0.05,-18.5185
CDNS,2025-03-31,2025-04-28,1.57,1.4988,0.0712,4.7505
CDNS,2024-12-31,2025-02-18,1.88,1.8223,0.0577,3.1663
CDNS,2024-09-30,2024-10-28,1.64,1.44,0.2,13.8889
CDNS,2024-06-30,2024-07-22,1.28,1.22,0.06,4.918
CDNS,2024-03-31,2024-04-22,1.17,1.13,0.04,3.5398
CDNS,2023-12-31,2024-02-12,1.38,1.33,0.05,3.7594
CDNS,2023-09-30,2023-10-23,1.26,1.2,0.06,5
CDNS,2023-06-30,2023-07-24,1.22,1.18,0.04,3.3898
CDNS,2023-03-31,2023-04-24,1.29,1.26,0.03,2.381
CDNS,2022-12-31,2023-02-13,0.96,0.92,0.04,4.3478
CDNS,2022-09-30,2022-10-24,1.06,0.97,0.09,9.2784
CDNS,2022-06-30,2022-07-25,1.08,0.96,0.12,12.5
CDNS,2022-03-31,2022-04-25,1.17,1.02,0.15,14.7059
CDNS,2021-12-31,2022-02-22,0.82,0.76,0.06,7.8947
CDNS,2021-09-30,2021-10-25,0.8,0.75,0.05,6.6667
CDNS,2021-06-30,2021-07-26,0.86,0.76,0.1,13.1579
CDNS,2021-03-31,2021-04-26,0.83,0.75,0.08,10.6667
CDNS,2020-12-31,2021-02-22,0.83,0.74,0.09,12.1622
CDNS,2020-09-30,2020-10-19,0.7,0.61,0.09,14.7541
CDNS,2020-06-30,2020-07-20,0.66,0.52,0.14,26.9231
CDNS,2020-03-31,2020-04-20,0.6,0.54,0.06,11.1111
CDNS,2019-12-31,2020-02-12,0.54,0.53,0.01,1.8868
CDW,2025-03-31,2025-05-07,1.69,1.6,0.09,5.625
CDW,2024-12-31,2025-02-05,2.48,2.32,0.16,6.8966
CDW,2024-09-30,2024-10-30,2.63,2.85,-0.22,-7.7193
CDW,2024-06-30,2024-07-31,2.5,2.53,-0.03,-1.1858
CDW,2024-03-31,2024-05-01,1.92,2.15,-0.23,-10.6977
CDW,2023-12-31,2024-02-07,2.57,2.56,0.01,0.3906
CDW,2023-09-30,2023-11-01,2.72,2.59,0.13,5.0193
CDW,2023-06-30,2023-08-02,2.56,2.33,0.23,9.8712
CDW,2023-03-31,2023-05-03,2.03,2.03,0,0
CDW,2022-12-31,2023-02-08,2.5,2.48,0.02,0.8065
CDW,2022-09-30,2022-11-02,2.6,2.52,0.08,3.1746
CDW,2022-06-30,2022-08-03,2.49,2.42,0.07,2.8926
CDW,2022-03-31,2022-05-04,2.2,2.02,0.18,8.9109
CDW,2021-12-31,2022-02-09,2.08,1.93,0.15,7.772
CDW,2021-09-30,2021-11-03,2.13,2.05,0.08,3.9024
CDW,2021-06-30,2021-08-04,2.02,1.8,0.22,12.2222
CDW,2021-03-31,2021-05-05,1.74,1.53,0.21,13.7255
CDW,2020-12-31,2021-02-10,1.82,1.51,0.31,20.5298
CDW,2020-09-30,2020-11-02,1.83,1.51,0.32,21.1921
CDW,2020-06-30,2020-08-05,1.56,1.38,0.18,13.0435
CDW,2020-03-31,2020-05-06,1.38,1.38,0,0
CDW,2019-12-31,2020-02-06,1.57,1.48,0.09,6.0811
CE,2025-03-31,2025-05-05,0.57,0.7272,-0.1572,-21.6172
CE,2024-12-31,2025-02-18,1.45,1.2015,0.2485,20.6825
CE,2024-09-30,2024-11-04,2.44,2.85,-0.41,-14.386
CE,2024-06-30,2024-08-01,2.38,2.71,-0.33,-12.1771
CE,2024-03-31,2024-05-08,2.08,1.91,0.17,8.9005
CE,2023-12-31,2024-02-20,2.24,2.31,-0.07,-3.0303
CE,2023-09-30,2023-11-06,2.5,2.23,0.27,12.1076
CE,2023-06-30,2023-08-07,2.17,2.48,-0.31,-12.5
CE,2023-03-31,2023-05-09,2.01,1.64,0.37,22.561
CE,2022-12-31,2023-02-23,1.44,1.66,-0.22,-13.253
CE,2022-09-30,2022-11-03,3.94,3.98,-0.04,-1.005
CE,2022-06-30,2022-07-28,4.99,4.56,0.43,9.4298
CE,2022-03-31,2022-04-28,5.54,4.52,1.02,22.5664
CE,2021-12-31,2022-01-27,4.91,5.07,-0.16,-3.1558
CE,2021-09-30,2021-10-21,4.82,4.75,0.07,1.4737
CE,2021-06-30,2021-07-22,5.02,4.45,0.57,12.809
CE,2021-03-31,2021-04-22,3.46,2.96,0.5,16.8919
CE,2020-12-31,2021-01-28,2.09,1.71,0.38,22.2222
CE,2020-09-30,2020-10-25,1.95,1.71,0.24,14.0351
CE,2020-06-30,2020-07-28,1.3,1.05,0.25,23.8095
CE,2020-03-31,2020-04-27,2.29,2.24,0.05,2.2321
CE,2019-12-31,2020-01-30,1.99,2.13,-0.14,-6.5728
CF,2025-03-31,2025-05-07,1.85,1.51,0.34,22.5166
CF,2024-12-31,2025-02-19,1.89,1.52,0.37,24.3421
CF,2024-09-30,2024-10-30,1.55,1.11,0.44,39.6396
CF,2024-06-30,2024-08-07,2.3,1.83,0.47,25.6831
CF,2024-03-31,2024-05-01,0.9,1.52,-0.62,-40.7895
CF,2023-12-31,2024-02-14,1.58,1.57,0.01,0.6369
