Year,Quarter,Symbol,Company Name,Earnings Release Date
2020,Q2,AIZ,,05-05-20
2020,Q3,AIZ,,04-08-20
2020,Q4,AIZ,,02-11-20
2021,Q1,AIZ,,09-02-21
2021,Q2,AIZ,,04-05-21
2021,Q3,AIZ,,03-08-21
2021,Q4,AIZ,,02-11-21
2022,Q1,AIZ,,08-02-22
2022,Q2,AIZ,,03-05-22
2022,Q3,AIZ,,02-08-22
2022,Q4,AIZ,,01-11-22
2023,Q1,AIZ,,07-02-23
2023,Q2,AIZ,,02-05-23
2023,Q3,AIZ,,01-08-23
2023,Q4,AIZ,,31-10-23
2024,Q1,AIZ,,06-02-24
2024,Q2,AIZ,,07-05-24
2024,Q3,AIZ,,06-08-24
2024,Q4,AIZ,,05-11-24
2025,Q1,AIZ,,11-02-25
2025,Q2,AIZ,,06-05-25
2025,Q3,AIZ,,05-08-25
2025,Q4,AIZ,,04-11-25
2020,Q1,AKAM,"Akamai Technologies, Inc.",11-02-20
2020,Q2,AKAM,"Akamai Technologies, Inc.",28-04-20
2020,Q3,AKAM,"Akamai Technologies, Inc.",28-07-20
2020,Q4,AKAM,"Akamai Technologies, Inc.",27-10-20
2021,Q1,AKAM,"Akamai Technologies, Inc.",09-02-21
2021,Q2,AKAM,"Akamai Technologies, Inc.",04-05-21
2021,Q3,AKAM,"Akamai Technologies, Inc.",03-08-21
2021,Q4,AKAM,"Akamai Technologies, Inc.",02-11-21
2022,Q1,AKAM,"Akamai Technologies, Inc.",15-02-22
2022,Q2,AKAM,"Akamai Technologies, Inc.",03-05-22
2022,Q3,AKAM,"Akamai Technologies, Inc.",09-08-22
2022,Q4,AKAM,"Akamai Technologies, Inc.",08-11-22
2023,Q1,AKAM,"Akamai Technologies, Inc.",14-02-23
2023,Q2,AKAM,"Akamai Technologies, Inc.",09-05-23
2023,Q3,AKAM,"Akamai Technologies, Inc.",08-08-23
2023,Q4,AKAM,"Akamai Technologies, Inc.",07-11-23
